cod;description;marca;url;imagem
336921;Gel de Limpeza Facial Eternity Skin 200ml;Ybera Paris;https://www.b2cstore.com.br/produto/gel-de-limpeza-facial-eternity-skin-200ml-ybera-paris-150407?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/gel-de-limpeza-facial-eternity-skin-200ml-ybera-paris-150407/336921.jpg
336920;Limpeza Esfoliante Facial Eternity Skin 200ml;Ybera Paris;https://www.b2cstore.com.br/produto/limpeza-esfoliante-facial-eternity-skin-200ml-ybera-paris-150406?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/limpeza-esfoliante-facial-eternity-skin-200ml-ybera-paris-150406/336920.jpg
336919;Máscara Antirrugas Eternity Skin 50g;Ybera Paris;https://www.b2cstore.com.br/produto/mascara-antirrugas-eternity-skin-50g-ybera-paris-150405?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-antirrugas-eternity-skin-50g-ybera-paris-150405/336919.jpg
336899;Máscara Eco Sinestésica Sativa 200g;Ybera Paris;https://www.b2cstore.com.br/produto/mascara-eco-sinestesica-sativa-200g-ybera-paris-150389?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/mascara-eco-sinestesica-sativa-200g-ybera-paris-150389/336899.jpg
336889;Kit Shampoo Isotônico e Máscara Toda de Coco Special Edition 500ml/500g;Terra Coco;https://www.b2cstore.com.br/produto/kit-shampoo-isotonico-e-mascara-toda-de-coco-special-edition-500ml-500g-terra-coco-150379?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-shampoo-isotonico-e-mascara-toda-de-coco-special-edition-500ml-500g-terra-coco-150379/336889.jpg
336871;Óleo de Coco Virgem 100% Vegetal 30ml;Terra Coco;https://www.b2cstore.com.br/produto/oleo-de-coco-virgem-100-vegetal-30ml-terra-coco-150361?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/oleo-de-coco-virgem-100-vegetal-30ml-terra-coco-150361/336871.jpg
336870;Óleo Corporal Em Gel Si Cajú 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/oleo-corporal-em-gel-si-caju-260ml-ybera-paris-150360?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/oleo-corporal-em-gel-si-caju-260ml-ybera-paris-150360/336870.jpg
336853;Shampoo Eco Sinestésico Sativa 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/shampoo-eco-sinestesico-sativa-250ml-ybera-paris-150343?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/shampoo-eco-sinestesico-sativa-250ml-ybera-paris-150343/336853.jpg
336850;Sabonete CB2 Oil Sativa 250ml;Ybera Paris;https://www.b2cstore.com.br/produto/sabonete-cb2-oil-sativa-250ml-ybera-paris-150340?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/sabonete-cb2-oil-sativa-250ml-ybera-paris-150340/336850.jpg
336821;Biotina 60 Capsulas;Acquafit;https://www.b2cstore.com.br/produto/biotina-60-capsulas-acquafit-150311?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/biotina-60-capsulas-acquafit-150311/336821.jpg
336809;Kit Manutenção Sativa 250ml/250g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-sativa-250ml-250g-ybera-paris-150299?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-sativa-250ml-250g-ybera-paris-150299/336809.jpg
336808;Kit Manutenção Sativa 250ml/250g + Máscara Eco Sinestésica 200g;Ybera Paris;https://www.b2cstore.com.br/produto/kit-manutencao-sativa-250ml-250g-mascara-eco-sinestesica-200g-ybera-paris-150298?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-manutencao-sativa-250ml-250g-mascara-eco-sinestesica-200g-ybera-paris-150298/336808.jpg
336795;Kit Eternity Skin Ybera Paris;Kit Eternity Skin Ybera Paris;https://www.b2cstore.com.br/produto/kit-eternity-skin-ybera-paris-150285?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/kit-eternity-skin-ybera-paris-150285/336795.jpg
336787;Iso Drop;Acquafit;https://www.b2cstore.com.br/produto/iso-drop-acquafit-150277?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/iso-drop-acquafit-150277/336787.jpg
336786;Hidratante Facial Eco Sinestésico Sativa 30g;Ybera Paris;https://www.b2cstore.com.br/produto/hidratante-facial-eco-sinestesico-sativa-30g-ybera-paris-150276?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/hidratante-facial-eco-sinestesico-sativa-30g-ybera-paris-150276/336786.jpg
336785;Hidratante Corporal Firmador Si Cajú 260ml;Ybera Paris;https://www.b2cstore.com.br/produto/hidratante-corporal-firmador-si-caju-260ml-ybera-paris-150275?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/hidratante-corporal-firmador-si-caju-260ml-ybera-paris-150275/336785.jpg
336784;Hidratante Corporal Eco Sinestésico Sativa 250g;Ybera Paris;https://www.b2cstore.com.br/produto/hidratante-corporal-eco-sinestesico-sativa-250g-ybera-paris-150274?parceiro=20449;https://lojaybera.fbitsstatic.net/img/p/hidratante-corporal-eco-sinestesico-sativa-250g-ybera-paris-150274/336784.jpg
